date,CPI,Core CPI,Food,Energy,Commodities (less food and energy),Services (less energy),Food at home,Food away from home,Energy commodities,Energy services,New vehicles,Used cars and trucks,Apparel,Medical Care Commodities,Alcoholic beverages,Tobacco and smoking products,Shelter,Transportation services,Medical care services,Cereals and bakery products,"Meats, poultry, fish, and eggs",Dairy and related products,Fruits and vegetables,Nonalcoholic beverages,Other food at home,Full service meals,Fuel oil,Gasoline,Electricity,Utility gas service
2009-09-01,-0.01377942862886472,0.014798373886199645,-0.002341941883104881,-0.22046323882748686,0.015148493697030085,0.01466811255065359,-0.024950058740977443,0.026477259709015932,-0.3007734515658873,-0.08543210591323158,0.01519146641097846,-0.02702476062694381,0.009705897105786843,0.041262833363194806,0.024957217520003683,0.29035059682285747,0.006830209548568167,0.019963073152246658,0.03183207978016589,0.00017493916887989513,-0.038650741240537134,-0.09450529894676696,-0.06527103840288362,0.008912865743378795,0.013948366572861692,0.021171220600607166,-0.3595139727592106,-0.2963050524783336,-0.0020125457396760194,-0.28544887039239
2009-10-01,-0.002239682942003385,0.017127331771131127,-0.00555639396891161,-0.140070989015605,0.022742842462820656,0.014972961264113183,-0.027604176156551197,0.02249988599571351,-0.18699988035836201,-0.07078517104712201,0.03735941320293379,0.02370814561808854,0.014318302342612332,0.04237791301766358,0.024201877501337288,0.29014712944189514,0.0066452952680498,0.027017102087923517,0.03225341193863018,-0.006167693298510746,-0.04855417616353497,-0.0816657500246788,-0.05568453588061717,-0.004862682732888923,0.010481858930987853,0.01761761470028933,-0.26335006173694464,-0.17867546956999625,-0.004920176877244553,-0.2378731534937235
2009-11-01,0.019145871744709275,0.01714243571010421,-0.006796914228328843,0.08084343214368062,0.026382699120100606,0.013601930988417221,-0.02858482577778587,0.020859559267961236,0.20357023507289607,-0.04848060923407327,0.049586028362906376,0.05999312757715858,0.009590550783648899,0.03795004647697775,0.022883526247670982,0.302954219599213,0.0029176694059223074,0.03593132170869251,0.03446990151456708,-0.009500616692871167,-0.03993124358392819,-0.09004138863079658,-0.04686691289605893,-0.011348582800700835,0.0015859012330119437,0.018078339471041316,-0.06944030290631953,0.24201603569976338,-0.0014654328723001653,-0.17388699478895042
2009-12-01,0.028141231232083674,0.018236717759594345,-0.005336120836433533,0.1887610925173997,0.03075249112358258,0.013466825947626937,-0.024292421622262972,0.01860125790723388,0.4689485086226943,-0.05201993070580513,0.05193497338512443,0.09466475028078203,0.01965814136591071,0.03331886477462431,0.0175096298394799,0.3005920576658856,0.0028610748949731146,0.03885364518940393,0.03359817049565317,-0.010198631804651304,-0.03747547729556444,-0.07610582532560539,-0.026606593044220084,-0.010353774304813657,-0.0022806623836835183,0.01810783316378428,0.06496206710472019,0.5367250302830084,-0.006119660763539869,-0.17669087508630255
2010-01-01,0.026211113889767157,0.015123351706495702,-0.0033981955353640236,0.1911217333385573,0.03051191659456398,0.009296887415715105,-0.019250706772686366,0.01625255852412133,0.4594928439931114,-0.047326060270066916,0.042602265789295046,0.12758549910000938,0.016470707909839177,0.03513081153141151,0.014180967025145153,0.2918721178525625,-0.003731478171455249,0.03426528561802189,0.034852670232257354,-0.015320000785037147,-0.03255932195259992,-0.05096073118607847,-0.006976920823341892,-0.0074677943728764795,-0.007954616166435002,0.016459145660902452,0.19291587602783045,0.5050586077169419,-0.0177600263187655,-0.12985111384753156
2010-02-01,0.02151336357866529,0.013494526888039982,-0.0018132076419623555,0.14099095911735726,0.02623742626734682,0.008649028542927706,-0.014692791263249627,0.014024544078425683,0.33315921960001993,-0.04291984637637791,0.03524341340928672,0.15086210361319874,0.002468971039636836,0.03493594744337525,0.013108725309923352,0.2838464293131049,-0.004375981082914704,0.03356212028001271,0.03672507941040015,-0.010702333226901284,-0.026733708846304993,-0.02804871490243821,-0.01206137966526788,-0.008447361499360762,-0.004423788532499251,0.015034115878339138,0.1927318919568446,0.3543520598390273,-0.02626050420168069,-0.09144040389939745
2010-03-01,0.022861714393279886,0.011592051426555505,0.002196695803395876,0.17325336995207796,0.020794903084825567,0.008071271706400429,-0.006448520159115789,0.01248784965979044,0.38074985163550035,-0.019102032561431836,0.02997773893296274,0.16501922919564693,-0.0011880233949222996,0.036451392618228384,0.012094607517235678,0.16251299556162913,-0.005798845043310963,0.0376327207450875,0.0380792555017353,-0.010515027381651776,-0.01649781803051853,-0.004371841932624632,0.02151302305565883,-0.01687113774052884,-0.006654447753733361,0.012917658944937793,0.27154911913190083,0.3973827136811061,-0.007028632700072368,-0.05592098823437297
2010-04-01,0.022067707525304403,0.009675088932173947,0.0047393147702532445,0.17835338379742272,0.012799966111507466,0.008440297804165553,-0.0003985042190475241,0.010636818375541202,0.36935578889004406,-0.002944758791878055,0.024351217188744334,0.16238811358061156,-0.004459902481236844,0.034210752233720054,0.01247199606578886,0.06858034892914344,-0.006490930727344857,0.03703614486853679,0.03687104129718777,-0.008798790957501468,-0.0022293999077155346,0.0009334226172359461,0.017341419439436123,-0.006182199930012899,-0.0016583314151792372,0.009657323110750182,0.2803646802117614,0.38192166928085913,0.004469717278782426,-0.02650099249825999
2010-05-01,0.020035489292185682,0.00940138142747493,0.006969280988738058,0.1490351999110271,0.010442593937513678,0.008949927865691043,0.003036305471859624,0.011433798307797893,0.28517875507292856,0.011589170192403353,0.018483261351093017,0.15031868965911221,-0.0032489711591329185,0.033431131343165665,0.011725323606196492,0.08533305597242236,-0.006068666055126792,0.04047489905381774,0.03421220760658494,-0.005751751093070467,0.009015219293742716,0.008640432531687559,0.01286902751473562,-0.010496499123248126,0.0015405333179629999,0.011428776668342744,0.27064569126550087,0.2863936472435431,0.00388883127657369,0.03768934643445254
2010-06-01,0.011215605940686268,0.009501989849939774,0.006758090655746063,0.034161790156978844,0.008435167401841914,0.009853311043841018,0.0024330900243307862,0.011803031864601188,0.0561952696240029,0.0075598641840317615,0.012377605375416989,0.1518630919536499,-0.005429179553693153,0.03330916773006254,0.010516811926917669,0.08328743921541815,-0.0047977490260209255,0.044067878456195864,0.035133657090869796,-0.01045263057869572,0.020431861945289675,0.019310288006508802,-0.004299835014819453,-0.012833162755636729,-0.0016855550030099309,0.011871182596587815,0.16566737739872073,0.045329115943797404,0.0035740669448232065,0.020972297987026822
2010-07-01,0.013407784804821077,0.009577539302116689,0.008496368228090967,0.05669176311945168,0.007790308518716538,0.010199858533869177,0.0065593070680738386,0.010588999082137507,0.0880462304609031,0.018955873213176044,0.008701521665761769,0.16010549965810306,-0.005517402320309284,0.032610622083062646,0.012753334390072757,0.0683019031153207,-0.0028858233426584112,0.040017911903819536,0.03209006220542876,-0.011948751460424956,0.03540244011219351,0.030411458279393955,-0.02036589323677307,-0.005758110209123313,0.0034815394390679266,0.011981718910309525,0.15088066139468026,0.08210291567642658,0.01593257518905511,0.029072405522784672
2010-08-01,0.011501775395112546,0.009171009950067255,0.009679081407331092,0.03565280802448623,0.01053425217379056,0.008588556349262921,0.007447291234931042,0.012281211579300289,0.04664916622030213,0.021721132093381446,0.022341601679886747,0.14725904120437394,-0.010612462157756464,0.030093409105754754,0.011762790508364152,0.07335189370824247,-0.004364397100020456,0.03634151481294445,0.03227472243738694,-0.009927586548953538,0.028450871045748505,0.03290865522062991,-0.006839385119357222,-0.006948070697080144,0.0036750808517787004,0.013576510413678466,0.10577056344114077,0.03973974555480586,0.018579458676449834,0.03229851426834385
2010-09-01,0.011183122472331775,0.008143870498363182,0.01362895727660196,0.034791914270356106,0.006826297733220077,0.008576142798214947,0.013441225697260695,0.013714102043276277,0.04870839336308186,0.01702917855842845,0.02021782119772153,0.1285032633137717,-0.012990668907674419,0.026492044270283843,0.011565571329296143,0.06361652156884601,-0.00339594651484465,0.031453302241018166,0.036733999829958286,-0.0049530927015424275,0.04701414157503603,0.029422869052975642,0.0028069472872356283,-0.006857346323615121,0.0038562232097418825,0.01393376268903701,0.11824376835543493,0.04176134103105911,0.012743891260508677,0.03156252565892115
2010-10-01,0.011666951489314625,0.006027183550187942,0.014113459522101302,0.05857297075503509,0.001074526057257108,0.00786652738307847,0.01434380152900605,0.013660446696160955,0.09703514542936298,0.009300790174173734,0.003995909812823273,0.08936025665219849,-0.01313692946058087,0.024777500889996418,0.011232009651875208,0.06032506287495565,-0.0038094398801488127,0.028695368584013226,0.03616589153476113,-0.006134408345657816,0.057193440458507716,0.03035933660933643,0.0017180222009938184,-0.010252312609484004,0.0010514367019411885,0.014513091854196025,0.14458130147973614,0.09286642087723207,0.006483142785612905,0.018794985847149226
2010-11-01,0.01084544776600338,0.00672056411046551,0.01546550480051101,0.040600762330988305,-0.001217730150998575,0.009708846919977754,0.017442814094843495,0.012816460626889237,0.07859762541182325,-0.009484021597891967,-0.004300085570264733,0.06646283061961267,-0.008166190305565535,0.026853665948930905,0.008430848199863616,0.0515956997612399,-0.0008747607449109962,0.02878361836676424,0.03339589107495744,-0.002856438125094396,0.058342285350521106,0.03797044050455356,0.0007757493369189294,0.000524853349799459,0.002464216431604882,0.014125788141772677,0.1111897726722284,0.07702123015706452,0.0026966198906832606,-0.04842328241088556
2010-12-01,0.01437793022217937,0.006618948664665503,0.01519476466700942,0.08200938475097064,-0.0027084838046557147,0.010140849286772946,0.01674156725386866,0.013047791484458893,0.1449580269544024,-0.0009617984070539043,-0.0017994932626972382,0.04515124555160144,-0.010112835330161718,0.029200688899731597,0.00866253822698626,0.0540078132774684,0.0002608147853895293,0.028207429374122128,0.033639583684727636,-0.0025908071971274538,0.05541415205957523,0.03729105918107534,0.0158597478347966,-0.01359579048664794,0.0005753920512203692,0.013203722736096823,0.16513658921891539,0.144472780154699,0.006743508076647808,-0.02591674583755732
2011-01-01,0.017007834915029774,0.009835337415527112,0.018216020028468227,0.07730478790641304,-0.0014086070749546042,0.01405118861508825,0.021016308245396687,0.014516530615874546,0.13868996272847123,-0.005653034609249485,0.004460638659350202,0.025548032962493528,-0.0007505629221916665,0.028085166666130146,0.011310313800472205,0.05212014472012405,0.006398316359853995,0.0347023091958194,0.030100846478275045,0.009236153741897901,0.06715652005771133,0.008690669468054635,0.020680813246210406,0.0009297228071472041,0.0024828811876012047,0.014823635106132826,0.17278588132843598,0.13956601497297916,0.011989554277460623,-0.06093883474161965
2011-02-01,0.02124898173333145,0.01124445592146106,0.02265822321461264,0.10706789298935249,0.0008052479955571457,0.01515679377245327,0.02796095525502018,0.01566102869633612,0.18615837341714125,0.0024129035620295003,0.011642303264623566,0.02101653244676016,-0.002329761033082578,0.027116926106857342,0.014727076202486034,0.05667687722493597,0.00777025528534625,0.03514102314724776,0.0298422315772906,0.01035988651939701,0.07031165271574613,0.018727364185110673,0.0417800832006574,0.004972178011375394,0.00771591223933954,0.015908055144126854,0.27091548890360095,0.18777253677655792,0.019580603573025934,-0.05083634650250435
2011-03-01,0.02619241510354109,0.012097851736773357,0.028416822685967347,0.1469143823509742,0.002912169253330932,0.01572881457441988,0.03545813036418455,0.019071873986070464,0.2632914059372564,-0.003747384047587121,0.018429202416611723,0.022960169128440455,-0.004042420461634388,0.027960263290879972,0.014577652997867174,0.05574099009800659,0.00905152593237979,0.03674884796201794,0.027249725053335894,0.017105630154998552,0.07862399401822073,0.03461023871558333,0.03338747969511435,0.013422570397557232,0.01990837325841044,0.021017383870048256,0.3402685954843365,0.265170332428154,0.008912563873374468,-0.044230629659197995
2011-04-01,0.030772344447868694,0.013155392125784537,0.03130802111227182,0.1852508615374322,0.007305477714110387,0.015430968098865794,0.03883256613866992,0.021333830501251816,0.32727242052696637,0.001572083913200295,0.02353257434302769,0.027258610954263185,0.0032679738562091387,0.031176269638814924,0.01692369272006866,0.049339517999394955,0.009892764529619846,0.03304220575596406,0.02794848174601028,0.02077529157253588,0.07378812808505253,0.0665305005372312,0.025173107631057068,0.02259698542129973,0.022212440853284665,0.02226128543266448,0.35131359764764225,0.3332889068505638,0.004768039252921685,-0.00894526388263639
2011-05-01,0.034589718808965,0.014540961794335727,0.03469185842402589,0.21348684369721882,0.012211801484955043,0.015422638536809252,0.04440076581817842,0.02184658624924074,0.3737996902426435,0.009615931427035207,0.03296431532855215,0.039190646461206624,0.012520058839261772,0.030471813413454285,0.02019834205462967,0.03429813163672213,0.010204410626773353,0.028632770717730738,0.029891563117297792,0.02951519017622206,0.08251004181464916,0.07320896692271517,0.024221140422576726,0.03200322200879868,0.024532141866828505,0.022130524641160276,0.3596298880949935,0.3823853533246988,0.015417592066525376,-0.009211480457789079
2011-06-01,0.03502318150636041,0.01583677676609674,0.037531066876439256,0.2049920496260378,0.01544557770925481,0.01603576262149864,0.04817705916204118,0.023472411059491494,0.36066943031603205,0.01039016335559162,0.03854914889126615,0.046262442673880466,0.01744647768405727,0.02901315893903078,0.020374718826186244,0.028901376603553297,0.01161118830423491,0.02952353789110962,0.02889662560257089,0.04166800038411056,0.06981076811531572,0.07925858942040032,0.032472340955914225,0.038503324496979685,0.03312831322458365,0.023499287148095682,0.3732005604556812,0.36623044288311757,0.015530960835644647,-0.006332261204452183
2011-07-01,0.035798809769996165,0.01741483445742964,0.04218323800140489,0.19001628987272623,0.017302003683652423,0.017415334880204414,0.054430009607753016,0.026006822914359073,0.3310448466112792,0.010332831940287779,0.03907363765965477,0.05233945211631297,0.02702770654196196,0.03121205764377577,0.014372532096717183,0.01684876965454629,0.013702048866883976,0.03135836261446534,0.032243694758391284,0.04462116900087376,0.071403957154754,0.0847777035142292,0.060037670111074526,0.04259843006366282,0.03453761460208482,0.024558841253748742,0.37152301382800323,0.33129426353339797,0.021550811254771762,-0.026004430306657
2011-08-01,0.0375499603070808,0.019651571719433658,0.04626389648259521,0.1825453848733054,0.01972624518000443,0.01958770176672653,0.06097204229177988,0.02690109618323322,0.31611803567123564,0.010033548387096802,0.03676822807043001,0.05502719286013136,0.03859280430396783,0.029322054319359303,0.016037761149998664,0.017708821347700354,0.015694561848407895,0.035968738849690984,0.0324628333584267,0.054391779515315264,0.08016027255932245,0.09524336728531746,0.061131478365518355,0.042376026922696264,0.042030213629611124,0.025176012736600084,0.35399486103789335,0.31633100389386004,0.02002339325923752,-0.022458970705004577
2011-09-01,0.03812621692818685,0.019877227562006272,0.04751179507671899,0.18451904380647388,0.019225141105149612,0.020073840799830434,0.06365940989794883,0.026233623252229554,0.3104575709239108,0.018948569650128366,0.03381936006480357,0.05307848255943104,0.03383944299974839,0.02878450994221593,0.014524755876146989,0.02363246409467612,0.016494480383637544,0.03567104012752509,0.02760062905217664,0.05763960465655149,0.076489716747012,0.10399815114397959,0.06723363345597066,0.04093364817585021,0.047476690220345175,0.026368222476577996,0.33351012853620876,0.3119183912484458,0.02888056768107239,-0.013526062477779432
2011-10-01,0.035222681306640524,0.021079204796465634,0.047061277610749075,0.13818005629643304,0.020972587176681268,0.021112110022215358,0.062151902241680324,0.02715509466005539,0.22611546640679547,0.015720152217590044,0.03360974270813766,0.05316915316014503,0.040852022839459545,0.03072516311590867,0.01331534804209622,0.025787539536952897,0.018062503015778608,0.030297474446532524,0.03106285532655728,0.06405481841201022,0.07393005312480772,0.08696861757356267,0.051844075966023695,0.04853223372477933,0.05230759583629441,0.028138100413567457,0.2680353279579475,0.22441523100626304,0.03068336693078222,-0.032969766248061916
2011-11-01,0.03451432214581729,0.02138204538395394,0.04603839852271596,0.12822101541713726,0.022579858571080358,0.020866321305007318,0.059151102001335776,0.028719364253314117,0.20520150151188554,0.017404029581623792,0.03297488968650031,0.051370974984628726,0.04818234518218545,0.0307765449668147,0.01248937713291598,0.02761290824980356,0.01857883554959372,0.021960685924557577,0.03461381184903667,0.06289398509439681,0.06932703016404851,0.08375522290177217,0.0487014425135468,0.043151171043293024,0.05103033472803342,0.02837969294102738,0.24959425927167844,0.2026181234313862,0.02713158248601011,-0.015472933332602246
2011-12-01,0.03062066838419386,0.02276662633858506,0.04675089844721181,0.07142605556289361,0.022631996768847307,0.022756403132478287,0.05981537952064908,0.029478926058966515,0.1135756649565185,0.007618532183614857,0.03234110673646873,0.04403133130590575,0.04732308363319149,0.0324159539866129,0.013596780225455518,0.02325556059918288,0.019519905007942873,0.02496309423966525,0.03565480732773718,0.06082930244399187,0.08078000989142975,0.07763689274260588,0.025754417761667536,0.056489790813295304,0.05385186424374244,0.028845747453543957,0.18024865853580518,0.10737397287014416,0.021305866713383192,-0.03849003966697173
2012-01-01,0.030087663379855023,0.022773481506083826,0.04379936080982061,0.06812412216803776,0.022013605631258315,0.023095379814926265,0.05334981368386016,0.031058677102826282,0.11112778677072277,0.004420640104506823,0.03259007614907383,0.03159518835593045,0.046561508930061724,0.03288612462967477,0.02157134023462004,0.02668532010634883,0.01959370405534777,0.020990279694440117,0.037479444436454123,0.052630747415860046,0.07213874873395953,0.08790201217871418,0.00025336150047094996,0.03895057361670706,0.05992648017311053,0.029804395480861112,0.12091271373950963,0.11005162862197992,0.02305894277410614,-0.05287586856929927
2012-02-01,0.028981784423473878,0.021598204405657295,0.03863912950103798,0.07252184704483167,0.020267598892981242,0.02221861403968428,0.04476016164398455,0.030607245654094895,0.1279517598110873,-0.009649177532389364,0.02943639291465372,0.02538616245502201,0.04312616760074728,0.03296535140452517,0.022080688828724826,0.02184457242591309,0.02011411469086588,0.016175403915319464,0.03409676988023169,0.05424580388692557,0.05771542532367335,0.07702335043427166,-0.021744259339467553,0.036155376040464704,0.05718761834112329,0.029369296118206156,0.08924673648091996,0.1307429959109334,0.01823427403538469,-0.0945027195027196
2012-03-01,0.025828752813320977,0.022483374654291177,0.032760098218131306,0.04024925128811763,0.02022897060250317,0.0232610418087007,0.03520719735833988,0.0296185483378546,0.07900653106424982,-0.01826413141896266,0.02478991596638669,0.024847918926712786,0.051036003307193045,0.0331051649035472,0.01960106076328838,0.01689861669872239,0.021250569639987615,0.014733722940159621,0.0359620969703327,0.04578023450323787,0.053081403038304886,0.06102238751549627,-0.03971574361649566,0.027049564492273026,0.05038751721727697,0.026711325099434857,0.05325803510006888,0.08233897902785525,0.006360358884018202,-0.0933306574965016
2012-04-01,0.022731633741348567,0.02314427851801515,0.030839732474609916,0.006855474499651182,0.019273089645817976,0.02455069540056387,0.03257057180340728,0.028741926791317818,0.029051088859724183,-0.02597329079072641,0.021436988032198068,0.030994489563150207,0.05327524013429197,0.02791159933619025,0.017331965291843776,0.02203352776683354,0.022538855965368976,0.016451744671920787,0.036844144514619925,0.046503716621765,0.046467558843796386,0.03230451208211571,-0.01808009443418057,0.017603208930879743,0.04845754006089864,0.026350415271405803,0.00913037860188659,0.029985650484497528,0.0050723305136692876,-0.1200421106634032
2012-05-01,0.01737942937466075,0.022522582803613078,0.02766810610734116,-0.035645917748779565,0.01629737890716565,0.024769839402317917,0.026742715106859993,0.02933175994898063,-0.03279094091931134,-0.03721151728976024,0.013576126297407232,0.03489308828750093,0.04554009212025156,0.02756620522229003,0.01567395356420498,0.024521023004854037,0.023103008058725116,0.016119586761967675,0.038064055724544854,0.0372042769234342,0.026484226733985095,0.022315833121295148,-0.004700008121726884,0.012692503977665082,0.04706218786065186,0.026355468777142343,-0.01076823669798399,-0.03546666920748642,0.000778249701162137,-0.15152768717548915
2012-06-01,0.01653870448297634,0.02192285611289857,0.027110300419752598,-0.03924914675767921,0.013451867322542554,0.025029906720388517,0.025927910137830468,0.02917389667542203,-0.042779003686341244,-0.031754433749428324,0.00957913472453864,0.025215798758399632,0.037285350423136965,0.028719603620724676,0.018511429388599288,0.024479324456242235,0.022434289627276227,0.012983220647364124,0.0433331992456385,0.025478025059345155,0.03271963447365822,0.015465558239248,0.010758262203348856,0.009433341901852632,0.039988631230618576,0.026785219271497462,-0.06808342857447325,-0.04216271634228341,0.0035783380380907115,-0.13832352862884978
