date,CPI,Core CPI,Food,Energy,Commodities (less food and energy),Services (less energy),Food at home,Food away from home,Energy commodities,Energy services,New vehicles,Used cars and trucks,Apparel,Medical care commodities,Alcoholic beverages,Tobacco and smoking products,Shelter,Transportation services,Medical care services,Cereals and bakery products,"Meats, poultry, fish, and eggs",Dairy and related products,Fruits and vegetables,Nonalcoholic beverages,Other food at home,Full service meals,Fuel oil,Gasoline,Electricity,Limited Service Meals,Utility gas service
1980-12-01,0.1251629726205996,0.12153236459709382,0.10194174757281549,0.18048128342245984,0.09811320754716979,0.14049586776859502,0.10488676996424307,0.0959595959595958,0.19164619164619157,0.1591263650546022,0.07438016528925617,0.18181818181818188,0.06833712984054663,0.10084033613445365,0.07636363636363641,0.09824046920821128,0.15013404825737275,0.14071038251366108,0.10085227272727271,0.11675126903553301,0.08491620111731835,0.0980392156862746,0.11096605744125321,0.07958477508650508,0.12758201701093563,,0.20182291666666674,0.18938480096501786,0.16815476190476186,,0.14833333333333343
1981-01-01,0.11825192802056561,0.11357702349869458,0.10108303249097483,0.1651728553137004,0.09261576971214014,0.13414634146341475,0.10414201183431948,0.09749999999999992,0.1628175519630486,0.16718266253869984,0.06526806526806528,0.18612521150592198,0.0584862385321101,0.10138888888888875,0.08062575210589662,0.07725321888411996,0.1370223978919629,0.14054054054054066,0.10084033613445365,0.12296110414052697,0.07190265486725655,0.09965635738831624,0.1215686274509804,0.08237986270022879,0.13012048192771086,,0.22744128553770082,0.15045248868778272,0.17846607669616543,,0.15041322314049577
1981-02-01,0.11406844106463887,0.10866752910737398,0.10538922155688613,0.16443361753958596,0.08582089552238803,0.12700534759358284,0.10731132075471717,0.10285006195786872,0.1659436008676789,0.1575757575757577,0.054335260115607076,0.19999999999999996,0.05936073059360725,0.10591471801925723,0.0861244019138756,0.07102272727272729,0.12500000000000022,0.13484646194926553,0.09366391184573009,0.12034739454094301,0.06911928651059096,0.10250569476082005,0.17105263157894735,0.07094594594594583,0.12218268090154205,,0.2670588235294118,0.14814814814814814,0.16000000000000014,,0.1546052631578949
1981-03-01,0.10486891385767794,0.09961685823754785,0.10083036773428233,0.15248226950354615,0.07891491985203469,0.11695137976346914,0.10280373831775713,0.09693251533742342,0.15513626834381555,0.15029761904761885,0.04513888888888884,0.20512820512820507,0.05239687848383512,0.10490463215258838,0.08551068883610458,0.07092198581560294,0.11011523687580027,0.12467191601049876,0.09289617486338786,0.11822660098522153,0.054263565891472965,0.10102156640181614,0.19638242894056823,0.06487695749440703,0.10994152046783623,,0.2654462242562927,0.13367346938775504,0.1502808988764046,,0.14814814814814814
1981-04-01,0.09999999999999987,0.09457755359394704,0.09540636042402828,0.1426900584795321,0.07701711491442542,0.10996119016817585,0.09512761020881677,0.09610705596107039,0.14018691588785037,0.14662756598240478,0.05154639175257736,0.21561969439728346,0.05088495575221241,0.10540540540540544,0.07502930832356403,0.07365439093484416,0.09949622166246841,0.11068211068211053,0.09362279511533234,0.10800970873786397,0.05375139977603571,0.0956130483689539,0.1708229426433916,0.062153163152053326,0.1006944444444442,,0.25142207053469834,0.11919191919191907,0.14799446749654233,,0.14808917197452232
1981-05-01,0.097799511002445,0.09476309226932655,0.08909730363423218,0.13294797687861282,0.07878787878787885,0.11111111111111116,0.08545034642032334,0.09310761789600974,0.13056994818652834,0.1388101983002834,0.06681766704416758,0.22948073701842553,0.04972375690607733,0.1097724230254351,0.07325581395348824,0.08848314606741559,0.10049627791563287,0.1040609137055839,0.09446693657219973,0.10456730769230771,0.06590909090909092,0.07734806629834257,0.1230207064555422,0.04961411245865488,0.08591065292096212,,0.24145785876993164,0.1088709677419355,0.1361185983827493,,0.14285714285714302
1981-06-01,0.09552599758162028,0.09371146732429114,0.08498253783469156,0.12671232876712346,0.080722891566265,0.10427135678391974,0.08381171067738236,0.09003601440576237,0.12086776859504145,0.1340629274965801,0.07604994324631109,0.259567387687188,0.04872646733111852,0.1102257636122177,0.07175925925925908,0.07607192254495154,0.09234507897934408,0.11111111111111116,0.09946236559139776,0.10394265232974909,0.07630979498861046,0.0726072607260726,0.11164465786314515,0.042669584245076386,0.07126696832579182,,0.22650056625141568,0.10160965794768595,0.1326530612244896,,0.13746223564954674
1981-07-01,0.10761789600967342,0.11124845488257096,0.08410138248847931,0.1223103057757644,0.08643457382953179,0.13307984790874516,0.07918552036199089,0.09199522102747903,0.11558307533539725,0.13709677419354827,0.07466063348416285,0.27914614121510684,0.04899777282850781,0.10935441370223975,0.0714285714285714,0.07596685082872923,0.1266912669126692,0.12814070351758788,0.10814419225634175,0.09834123222748814,0.07341490545050045,0.06892778993435456,0.12071005917159772,0.031590413943355156,0.06285072951739634,,0.21581920903954788,0.09648241206030139,0.14500000000000002,,0.12667660208643827
1981-08-01,0.1080432172869148,0.1156211562115621,0.0714285714285714,0.12344280860702161,0.08066429418742582,0.1457541191381495,0.0644444444444443,0.0902612826603324,0.11260330578512412,0.1417112299465242,0.059284116331096204,0.2928802588996766,0.04829857299670692,0.11256544502617793,0.0674285714285714,0.07575757575757569,0.1361963190184048,0.11940298507462677,0.1153846153846152,0.09433962264150941,0.0429184549356223,0.06093579978237207,0.10813953488372086,0.02580645161290329,0.05660377358490565,,0.2063134160090192,0.09466263846928502,0.161892901618929,,0.10930576070901021
1981-09-01,0.10952380952380958,0.1180048661800488,0.06404494382022485,0.12698412698412698,0.07602339181286544,0.15577889447236193,0.05494505494505497,0.08608490566037741,0.11850311850311845,0.14456233421750642,0.05239687848383512,0.27060653188180406,0.046286329386437064,0.11313394018205436,0.06825938566552892,0.08539944903581276,0.14634146341463405,0.11302211302211296,0.11578947368421044,0.096244131455399,0.02298850574712641,0.05965292841648595,0.09451575262543743,0.023579849946409492,0.05414364640883984,,0.20541760722347635,0.10253807106598978,0.151552795031056,,0.13556851311953366
1981-10-01,0.10141509433962281,0.109375,0.05816554809843377,0.1277080957810719,0.06712962962962954,0.14764267990074442,0.04709748083242049,0.08430913348946123,0.12238493723849375,0.1373333333333333,0.057906458797327476,0.2488755622188905,0.04051172707889128,0.11369509043927639,0.05775764439411102,0.10192837465564741,0.12455089820359277,0.11965811965811968,0.11864406779661008,0.08333333333333326,0.014583333333333393,0.050483351235230955,0.08274231678486998,0.024598930481283476,0.048245614035087536,,0.2113636363636362,0.10623084780388137,0.14231738035264474,,0.12968299711815567
1981-11-01,0.09590643274853794,0.10225921521997638,0.047724750277469585,0.13188073394495414,0.05970149253731338,0.14075887392900865,0.03365906623235615,0.08023255813953489,0.1200417536534446,0.15374149659863945,0.060506050605060535,0.2199710564399422,0.03503184713375784,0.11025641025641009,0.059887005649717384,0.09239130434782616,0.11097992916174726,0.11729141475211602,0.12435233160621761,0.08036739380022961,-0.0020661157024793875,0.04144527098831041,0.07473309608540912,0.019230769230769384,0.03470715835141003,,0.19820828667413215,0.10520939734422874,0.1537467700258397,,0.15350877192982448
1981-12-01,0.0892236384704519,0.09540636042402828,0.04295154185022043,0.11891279728199322,0.0595647193585338,0.12922705314009675,0.029126213592232997,0.0714285714285714,0.10618556701030935,0.14670255720053849,0.06813186813186811,0.20227920227920237,0.03518123667377404,0.11195928753180673,0.05855855855855863,0.07610146862483291,0.0990675990675991,0.11137724550898209,0.12645161290322582,0.07386363636363646,-0.00720906282183309,0.031512605042016695,0.08108108108108114,0.017094017094017255,0.0269396551724137,,0.17009750812567725,0.09432048681541594,0.14394904458598723,,0.14804063860667616
1982-01-01,0.0839080459770114,0.09261430246189928,0.04699453551912569,0.09010989010989023,0.05727376861397482,0.12305854241338099,0.03644158628081473,0.06719817767653757,0.061569016881827254,0.15251989389920428,0.06564551422319465,0.19828815977175474,0.034669555796316365,0.10844892812105944,0.05345211581291753,0.07171314741035872,0.09385863267670924,0.10781990521327,0.1234096692111959,0.06480446927374306,-0.00515995872033026,0.023958333333333304,0.14335664335664333,0.022198731501057223,0.02558635394456288,,0.09264853977844911,0.0540806293018683,0.14768460575719655,,0.15948275862068972
1982-02-01,0.07622298065984068,0.09101516919486574,0.04658721560130008,0.029288702928870425,0.060710194730813294,0.11981020166073564,0.04046858359957395,0.057303370786516705,-0.019534883720930152,0.14267015706806263,0.058114035087719174,0.19373219373219364,0.032327586206896575,0.1032338308457712,0.049559471365638874,0.08753315649867366,0.09606481481481488,0.1047058823529412,0.12216624685138533,0.058693244739756345,0.017726798748696426,0.018595041322313932,0.12808988764044948,0.028391167192429068,0.023255813953488413,,0.0027855153203342198,-0.02857142857142847,0.13054187192118216,,0.15954415954415957
1982-03-01,0.06779661016949157,0.08826945412311282,0.03879310344827602,-0.007179487179487243,0.06285714285714294,0.10941176470588232,0.03072033898305082,0.057046979865771785,-0.07713248638838477,0.1513583441138422,0.0620155038759691,0.19290780141843955,0.03177966101694918,0.10604192355117159,0.04814004376367609,0.10198675496688736,0.08650519031141868,0.10035005834305721,0.12250000000000005,0.05506607929515428,0.025210084033613356,0.016494845360824684,0.05399568034557234,0.03046218487394947,0.023182297154899834,,-0.05244122965641951,-0.08730873087308721,0.144078144078144,,0.16129032258064524
1982-04-01,0.06509539842873191,0.08870967741935498,0.04086021505376336,-0.03480040941658147,0.06356413166855845,0.10955710955710973,0.03389830508474567,0.05327413984461726,-0.1129326047358834,0.14322250639386191,0.053376906318082895,0.19273743016759792,0.02947368421052632,0.11002444987775051,0.04907306434023995,0.10158311345646442,0.09163802978235958,0.09849362688296637,0.1228287841191067,0.050383351588170866,0.04250797024442088,0.01642710472279263,0.04259850905218321,0.02298850574712641,0.02103049421661418,,-0.08363636363636362,-0.12545126353790603,0.12771084337349392,,0.16504854368932054
1982-05-01,0.06681514476614692,0.08656036446469262,0.04736275565123771,-0.022448979591836782,0.06516853932584277,0.10344827586206895,0.04574468085106376,0.05420353982300874,-0.09990834097158563,0.1455223880597014,0.03503184713375784,0.18937329700272465,0.027368421052631486,0.10494571773220729,0.044420368364030516,0.08774193548387088,0.09131905298759868,0.09310344827586192,0.12330456226880404,0.04896626768226331,0.05756929637526653,0.013333333333333197,0.07592190889370931,0.03256302521008392,0.02742616033755274,,-0.06880733944954132,-0.11090909090909096,0.117437722419929,,0.1875
1982-06-01,0.07064017660044164,0.08568207440811726,0.05257510729613735,0.010131712259371817,0.06800445930880716,0.10011376564277574,0.051906779661016866,0.052863436123347984,-0.04884792626728107,0.13872135102533178,0.03164556962025311,0.17965653896961675,0.02745512143611406,0.10287081339712922,0.043196544276457916,0.08611825192802058,0.09010011123470507,0.09318181818181825,0.12224938875305624,0.045454545454545414,0.06984126984126982,0.01025641025641022,0.09935205183585327,0.029380902413431276,0.028511087645195277,,-0.04339796860572487,-0.05388127853881286,0.10360360360360366,,0.1925630810092962
1982-07-01,0.06441048034934505,0.07563959955506117,0.04463336875664181,0.021190716448032276,0.06298342541436464,0.0883668903803132,0.04088050314465397,0.051422319474835776,-0.029602220166512372,0.12529550827423175,0.03157894736842115,0.16302952503209234,0.026539278131634925,0.09976247030878849,0.043010752688172005,0.09114249037227196,0.07641921397379914,0.08017817371937652,0.11927710843373496,0.04422869471413149,0.05699481865284972,0.013306038894575156,0.05385427666314668,0.03062302006335793,0.02745512143611406,,-0.03159851301115235,-0.031164069660861493,0.07969432314410496,,0.19444444444444442
1982-08-01,0.05850487540628402,0.07056229327453134,0.035978835978836,0.02016129032258074,0.05817782656421522,0.08185840707964598,0.029227557411273475,0.05119825708060999,-0.028783658310120752,0.12060889929742391,0.035902851108764455,0.14142678347934923,0.02408376963350789,0.09882352941176475,0.04282655246252687,0.09218950064020492,0.06911447084233258,0.08000000000000007,0.11652794292508939,0.04525862068965525,0.03703703703703698,0.01538461538461533,0.01783840503672618,0.026205450733752578,0.025210084033613356,,-0.028971962616822333,-0.03219871205151792,0.06966773847802776,,0.20372836218375512
1982-09-01,0.0504291845493563,0.05875952121871597,0.03484688489968324,0.017102615694164935,0.050000000000000044,0.0652173913043479,0.027083333333333348,0.05103148751357223,-0.03531598513011147,0.12166859791425266,0.03389830508474567,0.11627906976744184,0.02263374485596703,0.10046728971962637,0.03727369542066028,0.11294416243654837,0.0478723404255319,0.07615894039735105,0.116745283018868,0.03747323340471098,0.03881511746680277,0.011258955987717423,0.008528784648187626,0.025130890052356136,0.024109014675052443,,-0.028089887640449396,-0.04143646408839774,0.07335490830636449,,0.19897304236200264
